date,SP500,NASDAQ,US2,US5,US10,US20,CRUDE_W,GOLD,COPPER,CORN,WHEAT,SOYBEAN,EUR,JPY,GBP
2019-07-26,0.06544815162799934,0.1374767019596601,-0.613170964000121,0.16331814916663048,0.4318109174302557,0.39134441296422773,0.14421377040020106,-0.2214457350324893,0.0865829959728686,-0.09663699177711177,-0.06902096605403595,-0.1431465793397102,0.3385545077433199,-0.6115277911519755,-0.4506848927761648
2019-07-28,0.06963205702428624,0.14045844770252053,-0.621382808260424,0.1704145581436781,0.4285642528838255,0.3760599273117704,0.14334233872204982,-0.22228378293106943,0.08435732653495678,-0.09830928550929843,-0.07006551432102204,-0.1445254831446499,0.35538561297463916,-0.5877707680071161,-0.45337664238412323
2019-07-29,0.07348743429330246,0.1433571098025776,-0.5641864272167482,0.183321047756921,0.4365247923025787,0.3686757765943113,0.14394183927576099,-0.2240609088538037,0.08023358927752672,-0.09913663014926836,-0.06910670882074674,-0.14867459204502748,0.3695118552670692,-0.6031498465241231,-0.45758880727474227
2019-07-30,0.07801556715268264,0.1457043599167569,-0.5492138639043183,0.19482401839051555,0.4431198614840793,0.3599941176134216,0.14492906858020205,-0.22747806513184404,0.07627531401630108,-0.09994811941767459,-0.0696705482755958,-0.14532610798078982,0.3813665671021395,-0.6068877900788348,-0.4393581039688282
2019-07-31,0.08172994047867536,0.1484395215251888,-0.5682162659759188,0.20717425894733416,0.45508880963515264,0.35849416337325857,0.14832690038979707,-0.23101416918026163,0.07701254669405266,-0.10218891943283083,-0.07154085422697368,-0.15163606716158085,0.39548796905443556,-0.6114589575920131,-0.3540231807459463
2019-08-01,0.08641323606588547,0.1497294363898521,-0.5555777855471229,0.2174973761898686,0.46167537499689815,0.35180841076118996,0.1418189704982068,-0.23408151313415104,0.07015409752580719,-0.10322431447287475,-0.07037138467159143,-0.15299874996252333,0.40141760685831646,-0.613165096286678,-0.34949586534274735
2019-08-02,0.09036120083682996,0.14193657923893535,-0.504705514347098,0.16137143915358507,0.43617421685701596,0.35500688842747896,0.15272946004644455,-0.2448135605535144,0.08153163481659056,-0.11350282631323422,-0.07380189351189953,-0.14642771499965168,0.38109907917729574,-0.7074643734494807,-0.39412172577523585
2019-08-04,0.10566665233901913,0.17013625519520445,-0.3550468411919159,0.055412327720083907,0.2733590629064495,0.312571975888876,0.17383004787596307,-0.2562550349373621,0.09899569748840509,-0.11843636712645739,-0.07495672749728083,-0.16713488782933603,0.42649580304939205,-0.5918089823764799,-0.4545407513135538
2019-08-05,0.11220693003815,0.18445839666217678,-0.28113297589063774,-0.0037841771240788025,0.23812223983486525,0.31608537290300087,0.13647687377001788,-0.2616731975612179,0.10430268612017013,-0.1160889228745017,-0.0718401898696334,-0.1637580404091734,0.4270404546647869,-0.6167056657381245,-0.4696765235788301
2019-08-06,0.13517349039182422,0.1973438999904807,-0.27556859832903013,-0.11088642803491128,0.1313418473213782,0.27305732844633984,0.14242488149068988,-0.27195282011835564,0.10453435945462856,-0.11414806990489806,-0.06497889697024793,-0.15353294977890405,0.41715881345455424,-0.6246553940576173,-0.4668533226217897
2019-08-07,0.15088873021801763,0.11308275061642606,-0.21584293612895034,-0.18241263568536115,0.010902366883911982,0.1713629176920957,0.14915727973279055,-0.24427126978059988,0.11581861407712034,-0.11245144935936639,-0.05832534717318584,-0.149127333413604,0.30471053116912195,-0.5857657494649694,-0.45293218056729345
2019-08-08,0.13640432906224045,0.10747077055022056,-0.16901613475556676,-0.2678729557369762,-0.07326879278702007,0.14261412356362285,0.15398247804967824,-0.2506841767401593,0.12464450631296128,-0.0982692168719395,-0.046941946681114136,-0.14147157308801284,0.30180092531303415,-0.5467944859305038,-0.44726315009032935
2019-08-09,0.13442108681685286,0.11435337383064326,-0.1906174556109249,-0.34105587246590624,-0.14751830863091228,0.10863125176984506,0.14564519296738257,-0.24381103985043162,0.13129625668025724,-0.09786050402516991,-0.0405026947963468,-0.13748475560367454,0.28009907189451466,-0.5640732574517301,-0.37175482748874183
2019-08-11,0.12041910285694507,0.11773653564854146,-0.1989830247628616,-0.41029045625265537,-0.21574512318744474,0.07917616277887413,0.14616475706687443,-0.25026162001259383,0.12545221482041585,-0.09773296178967626,-0.03493824562964698,-0.11976151170121856,0.259462493315758,-0.5793136160927146,-0.29576836294647685
